Word,alternate-spellings,transliteration,Gloss,Strongs
"Ἀαρών, ὁ",,Aarōn,Aaron,2
"Ἀβαδδών, ὁ",Ἀββαδών,Abaddōn,"Abaddon, transliteration of the Hebrew word ""doom""",3
ἀβαρής,,abarēs,not burdensome,4
"Ἀββᾶ, ὁ",,Abba,"father, transliteration of the Hebrew word ""father""",5
"Ἅβελ, ὁ",Ἄβελ,Abel,Abel,6
"Ἀβιά, ὁ",,Abia,Abijah,7
"Ἀβιαθάρ, ὁ",Ἀβιάθαρ,Abiathar,Abiathar,8
"Ἀβιληνή, -ῆς, ἡ",,Abilēnē,Abilene,9
"Ἀβιούδ, ὁ",,Abioud,Abiud,10
"Ἀβραάμ, ὁ",,Abraam,Abraham,11
"ἄβυσσος, -ου, ἡ",,abussos,"bottomless, incomprehensible depth",12
"Ἅγαβος, -ου, ὁ",Ἄγαβος,Agabos,Agabus,13
ἀγαθοεργέω,,agathoergeō,"do good, perform good deeds",14
ἀγαθοποιέω,,agathopoieō,"do good/right, do what is good/right",15
"ἀγαθοποιΐα, -ας, ἡ",,agathopoiia,doing what is good/right,16
"ἀγαθοποιός, -όν",,agathopoios,one who does good/right,17
"ἀγαθός, -ή, -όν",,agathos,good,18
"ἀγαθωσύνη, -ης, ἡ",,agathōsunē,goodness,19
"ἀγαλλίασις, -εως, ἡ",,agalliasis,"delight, great joy, gladness",20
ἀγαλλιάω,,agalliaō,"rejoice, am full of joy, exult",21
"ἄγαμος, -ου, ἡ",,agamos,unmarried,22
ἀγανακτέω,,aganakteō,"be indignant, am angry, am incensed",23
"ἀγανάκτησις, -εως, ἡ",,aganaktēsis,indignation,24
ἀγαπάω,,agapaō,love,25
"ἀγάπη, -ης, ἡ",,agapē,love,26
"ἀγαπητός, -ή, -όν",,agapētos,"beloved, loved",27
"Ἁγάρ, ἡ","Ἁγάρ, Ἄγαρ",Agar,Hagar,28
ἀγγαρεύω,,aggareuō,"compel, press into service, impress, send",29
"ἀγγεῖον, -ου, τό",,aggeion,"vessel, flask, container, can",30
"ἀγγελία, -ας, ἡ",,aggelia,message,31
ἀγγέλλω,,aggellō,"announce, report",
"ἄγγελος, -ου, ὁ",,aggelos,"angel, messenger",32
"ἄγγος, -ους, τό",,aggos,"vessel, container",
"ἀγέλη, -ης, ἡ",,agelē,"herd, flock",34
"ἀγενεαλόγητος, -ον",,agenealogētos,"without genealogy, of unrecorded genealogy",35
ἀγενής,,agenēs,"base, low, insignificant, without family, ignoble",36
ἁγιάζω,,agiazō,"make holy, consecrate, sanctify",37
"ἁγιασμός, -οῦ, ὁ",,agiasmos,"consecration, holiness, sanctification",38
"ἅγιος, -α, -ον",,agios,"holy, set apart, sacred",40
"ἁγιότης, -ητος, ἡ",,agiotēs,holiness,41
"ἁγιωσύνη, -ης, ἡ",,agiōsunē,"holiness, holy or sanctified state",42
"ἀγκάλη, -ης, ἡ",,agkalē,arm,43
"ἄγκιστρον, -ου, τό",,agkistron,fish hook,44
"ἄγκυρα, -ας, ἡ",,agkura,anchor,45
"ἄγναφος, -ον",,agnaphos,"new, unshrunken, new, uncarded",46
"ἁγνεία, -ας, ἡ",,agneia,"purity, chastity",47
ἁγνίζω,,agnizō,"purify, cleanse",48
"ἁγνισμός, -οῦ, ὁ",,agnismos,purification,49
ἀγνοέω,,agnoeō,"not know, be unaware, do not know, am ignorant of",50
"ἀγνόημα, -τος, τό",,agnoēma,"sin of ignorance, offence committed through ignorance",51
"ἄγνοια, -ας, ἡ",,agnoia,ignorance,52
"ἁγνός, -ή, -όν",,agnos,"pure, holy, chaste, innocent",53
"ἁγνότης, -ητος, ἡ",,agnotēs,"purity, chastity, sincerity",54
ἁγνῶς,,agnōs,"purely, sincerely",55
"ἀγνωσία, -ας, ἡ",,agnōsia,ignorance,56
"ἄγνωστος, -ον",,agnōstos,unknown,57
"ἀγορά, -ᾶς, ἡ",,agora,"marketplace, place of assembly",58
ἀγοράζω,,agorazō,buy,59
"ἀγοραῖος, -ου, ὁ",,agoraios,"marketplace, lounger in the marketplace",60
"ἄγρα, -ας, ἡ",,agra,"catch, booty",61
"ἀγράμματος, -ον",,agrammatos,"uneducated, illiterate",62
ἀγραυλέω,,agrauleō,"live outdoors, spend the night in the open",63
ἀγρεύω,,agreuō,"trap, catch, capture",64
"ἀγριέλαιος, -ου, ἡ",,agrielaios,"wild olive tree, (ἀγρι-έλαιος)",65
"ἄγριος, -α, -ον",,agrios,"wild, savage, fierce, uncultivated",66
"Ἀγρίππας, -α, ὁ",,Agrippas,Agrippa,67
ἀγροίκοις,,agroikois,"farm house, of/in the countryside",
"ἀγρός, -ου, ὁ",,agros,"field, farm, countryside",68
ἀγρυπνέω,,agrupneō,"sleepless, watchful, alert (metaphorical)",69
"ἀγρυπνία, -ας, ἡ",,agrupnia,"sleeplessness, watching",70
ἄγω,,agō,"lead, bring","71, 33"
"ἀγωγή, -ῆς, ἡ",,agōgē,"way of life, conduct",72
"ἀγών, -ῶνος, ὁ",,agōn,"struggle, fight, contest",73
"ἀγωνία, -ας, ἡ",,agōnia,"agony, anguish, contest",74
ἀγωνίζομαι,,agōnizomai,"contend, struggle, strive",75
"Ἀδάμ, ὁ",,Adam,Adam,76
"ἀδάπανος, -ον",,adapanos,"free, free of charge, without expense",77
"Ἀδδί, ὁ",Ἀδδεί,Addi,Addi,78
"ἀδελφή, -ῆς, ἡ",,adelphē,sister,79
"ἀδελφός, -ου, ὁ",,adelphos,"brother, fellow believer",80
"ἀδελφότης, -ητος, ἡ",,adelphotēs,brotherhood,81
"ἄδηλος, -ον",,adēlos,"unseen, indistinct, not obvious",82
"ἀδηλότης, -ητος, ἡ",,adēlotēs,uncertainty,83
ἀδήλως,,adēlōs,"uncertainly, out of sight",84
ἀδημονέω,,adēmoneō,"distressed, troubled",85
"ᾍδης, -ου, ὁ",Ἅδης,Adēs,Hades,86
"ἀδιάκριτος, -ον",,adiakritos,"unwavering, unambiguous",87
"ἀδιάλειπτος, -ον",,adialeiptos,"unceasing, constant, incessant",88
ἀδιαλείπτως,,adialeiptōs,"constantly, unceasingly",89
"ἀδιαφθορία, -ας, ἡ",,adiaphthoria,"incorruptibility, soundness, integrity",90
ἀδικέω,,adikeō,"do wrong, harm, act unjustly towards",91
"ἀδίκημα, -τος, τό",,adikēma,"wrong, injury, misdeed, crime",92
"ἀδικία, -ας, ἡ",,adikia,unrighteousness,93
"ἄδικος, -ον",,adikos,"unjust, unrighteous",94
ἀδίκως,,adikōs,unjustly,95
"Ἀδμίν, ὁ",,Admin,"Admin, Aram",
"ἀδόκιμος, -ον",,adokimos,"not passing the test, rejected, unreputable (metaphorical)",96
"ἄδολος, -ον",,adolos,"pure, genuine, unadulterated",97
"Ἀδραμυττηνός, -ή, -όν",,Adramuttēnos,of Adramyttium,98
"Ἀδρίας, -ου, ὁ",,Adrias,Adriatic Sea,99
"ἁδρότης, -ητος, ἡ",,adrotēs,"abundance, lavishness",100
ἀδυνατέω,,adunateō,"be unable, be impossible",101
"ἀδύνατος, -ον",,adunatos,"impossible, unable, powerless, incapable",102
ᾄδω,,adō,sing,103
ἀεί,,aei,"always, ever, unceasingly",104
"ἀετός, -οῦ, ὁ",,aetos,"eagle, vulture, bird of prey",105
"ἄζυμος, -ον",,azumos,"unleavened, paschal feast, uncorrupted",106
"Ἀζώρ, ὁ",,Azōr,Azor,107
"Ἄζωτος, -ου, ἡ",,Azōtos,"Azotus, Ashdod",108
"ἀήρ, -ος, ὁ",,aēr,air,109
αθά,,atha,"come (Aramaic), Maranatha meaning 'Our Lord has come'",3134
"ἀθανασία, -ας, ἡ",,athanasia,immortality,110
"ἀθέμιτος, -ον",,athemitos,"unlawful, forbidden, disgusting, illegal",111
"ἄθεος, -ον",,atheos,"without God, godless",112
"ἄθεσμος, -ον",,athesmos,"lawless, unprincipled",113
ἀθετέω,,atheteō,"reject, annul",114
"ἀθέτησις, -εως, ἡ",,athetēsis,"setting aside, annulment, nullification, abrogation",115
"Ἀθῆναι, -ῶν, ἡ",,Athēnai,Athens,116
"Ἀθηναῖος, -α, -ον",,Athēnaios,Athenian,117
ἀθλέω,,athleō,compete,118
"ἄθλησις, -εως, ἡ",,athlēsis,"contest, conflict",119
ἀθροίζω,,athroizō,"collect, gather together",
ἀθυμέω,,athumeō,"be discouraged, disheartened, lose heart",120
"ἀθῷος, -ον",,athōos,"innocent, guiltless",121
"αἴγειος, -α, -ον",,aigeios,of a goat,122
"Αἰγεύς, -ος, ὁ",,Aigeus,Aegeus,
"αἰγιαλός, -οῦ, ὁ",,aigialos,"seashore, beach, sea-coast",123
"Αἰγύπτιος, -α, -ον",,Aiguptios,Egyptian,124
